index,name,country,latitude,longitude
57,Walnut Ridge,US,36.07663,-90.97439
58,Joplin,US,37.072928,-94.472782
59,Blytheville,US,35.931083,-89.872175
60,Wynne,US,35.253427,-90.777454
61,Brownsville,US,35.5867,-89.238093
62,Clarksville,US,35.4486832,-93.4604664
63,Mena,US,34.588589,-94.225872
64,Sullivan,US,38.22075,-91.154792
65,Festus,US,38.211942,-90.387955
66,Pittsburg,US,37.433957,-94.702301
67,Osceola,US,35.6999918,-90.0126791
68,West Memphis,US,35.165456,-90.20001
69,Sapulpa,US,35.986324,-96.135074
70,Pocahontas,US,36.248722,-90.963337
71,Wagoner,US,35.95667,-95.397539
72,Pineville,US,31.367011,-92.406583
73,Taylor,US,30.598559,-97.418418
74,Marshfield,US,37.337928,-92.939632
75,Columbia,US,38.957069,-92.382341
76,Joplin,US,37.087131,-94.545908
77,Berryville,US,36.376273,-93.5870153
78,Perryville,US,37.705668,-89.896103
79,Magnolia,US,33.276653,-93.212017
80,Stilwell,US,35.798588,-94.623206
81,Benton,US,34.577533,-92.580065
82,Springfield,US,37.248775,-93.313985
83,Minden,US,32.6280728,-93.2511369
84,Mountain Grove,US,37.150021,-92.259461
85,Aurora,US,36.946462,-93.714993
86,Camdenton,US,38.025748,-92.722992
87,Grove,US,36.5764748,-94.7656055
88,Covington,US,35.545844,-89.665294
89,Forrest City,US,35.028039,-90.793582
90,Harrisonville,US,38.666161,-94.369474
91,Millington,US,35.357703,-89.897647
92,Desloge,US,37.883896,-90.513307
93,Ripley,US,35.760785,-89.543058
94,Bastrop,US,32.775799,-91.870221
95,Union,US,38.4344195,-90.9700946
96,Bentonville,US,36.368151,-94.224959
97,Rolla,US,37.937606,-91.779138
98,Stuttgart,US,34.477048,-91.549074
99,Shawnee,US,35.386877,-96.921788
100,Corinth,US,34.910046,-88.502016
101,Milan,US,35.876197,-88.748089
102,Fulton,US,36.51749,-88.900147
103,Guthrie,US,35.862878,-97.42269
104,Cameron,US,39.758116,-94.231503
105,Winter Garden,US,28.476488,-81.629452
106,Chanute,US,37.65365,-95.450998
107,Chickasha,US,35.031027,-97.931081
108,Starkville,US,33.444519,-88.851436
109,Booneville,US,34.677408,-88.56422
110,West Point,US,33.586655,-88.661913
111,Amory,US,33.968526,-88.457017
112,Vivian,US,32.857781,-93.986591
113,Okmulgee,US,35.605657,-95.964357
114,Batesville,US,35.762696,-91.614278
115,Broken Bow,US,34.0223133,-94.7379574
116,Martin,US,36.355005,-88.883642
117,Jackson,US,37.362068,-89.634627
118,Humboldt,US,35.840815,-88.911782
119,Little Rock,US,34.667147,-92.377089
120,Malvern,US,34.3907358,-92.8327356
121,Jonesboro,US,35.815748,-90.734426
122,Fort Smith,US,35.329141,-94.406562
123,Little Rock,US,34.72831,-92.397677
124,Muskogee,US,35.772625,-95.373093
125,Ardmore,US,34.193239,-97.145321
126,Seminole,US,35.248317,-96.654501
127,Kingfisher,US,35.8287229,-97.9367127
128,Mount Pleasant,US,33.134578,-94.964667
129,Ashdown,US,33.657167,-94.10924
130,Elk City,US,35.409307,-99.37645
131,Blackwell,US,36.810171,-97.297401
132,Chillicothe,US,39.7765306,-93.55634
133,Springfield,US,37.241729,-93.258694
134,Stillwater,US,36.124523,-97.048223
135,Purcell,US,34.987486,-97.370172
136,Fort Smith,US,35.350111,-94.338702
137,Fayetteville,US,36.050008,-94.201133
138,Lufkin,US,31.299557,-94.731474
139,Gilmer,US,32.747175,-94.93762
140,Benton,US,36.869615,-88.360427
141,Paris,US,33.664699,-95.505897
142,Woodward,US,36.412341,-99.384178
143,Bowling Green,US,39.330546,-91.181652
144,Jonesboro,US,32.227952,-92.705761
145,Denison,US,33.759174,-96.587537
146,Mcalester,US,34.9192022,-95.7404781
147,De Soto,US,38.150177,-90.574504
148,New Albany,US,34.492946,-89.032578
149,Searcy,US,35.247101,-91.687166
150,Abingdon,US,36.714643,-81.927722
151,Columbia,US,38.954911,-92.296729
152,Anadarko,US,35.060053,-98.262377
153,Bonham,US,33.596586,-96.194575
154,Ash Flat,US,36.241189,-91.596294
155,Senatobia,US,34.629368,-89.971894
156,Huntingdon,US,35.997828,-88.43735
157,Nacogdoches,US,31.650027,-94.652353
158,Pontotoc,US,34.285602,-89.021349
159,Henderson,US,32.130652,-94.802126
160,Houston,US,37.313756,-91.962661
161,Owasso,US,36.295227,-95.837899
162,Natchitoches,US,31.750245,-93.066686
163,Crossett,US,33.136229,-91.941957
164,Lonoke,US,34.805224,-91.894037
165,Camden,US,33.567239,-92.836856
166,Potosi,US,37.92381,-90.771606
167,Washington,US,38.5404591,-90.9952384
168,Collierville,US,35.048344,-89.68099
169,Cocoa,US,28.395378,-80.753116
170,Ripley,US,34.72373,-88.950897
171,Paris,US,36.281103,-88.307919
172,Alva,US,36.79952,-98.645026
173,Springfield,US,37.180349,-93.352393
174,Greenville,US,33.3678514,-91.0438728
175,New Boston,US,33.470693,-94.403621
176,Gainesville,US,33.645646,-97.13596
177,Blue Springs,US,39.024151,-94.25503
178,Jacksonville,US,31.951409,-95.266334
179,Louisville,US,33.122255,-89.08271
180,El Dorado,US,37.814622,-96.892174
181,Cape Girardeau,US,37.30124,-89.585833
182,Kirksville,US,40.216711,-92.579522
183,Baytown,US,29.7763429,-94.9743933
184,Excelsior Springs,US,39.329466,-94.265105
185,Columbia,US,35.5989735,-87.0513091
186,Carbondale,US,37.738565,-89.186886
187,Kennett,US,36.238808,-90.037563
188,Salem,US,38.625999,-88.98129
189,Lincoln,US,40.154263,-89.398031
190,Macomb,US,40.461079,-90.641514
191,Belleville,US,38.522079,-89.922955
192,Princeton,US,37.11071,-87.918332
193,Jacksonville,US,39.71992,-90.270971
194,Mckinney,US,33.222075,-96.629963
195,Brookfield,US,39.767807,-93.072718
196,Philadelphia,US,32.7675247,-89.1275641
197,Cleveland,US,36.297466,-96.463165
198,Ozark,US,35.503711,-93.84385
199,Holdenville,US,35.088093,-96.381422
200,Hillsboro,US,32.004274,-97.099919
201,Litchfield,US,39.185505,-89.668379
202,Jasper,US,30.908235,-94.015462
203,Norman,US,35.221587,-97.481153
204,Selmer,US,35.1396272,-88.5742543
205,Lewisville,US,33.047228,-97.013954
206,Sedalia,US,38.706715,-93.270907
207,Marion,US,37.748171,-88.971464
208,Yukon,US,35.490376,-97.763836
209,Mount Vernon,US,38.309085,-88.958411
210,Burleson,US,32.527749,-97.337823
211,Sparta,US,38.1414384,-89.7017327
212,Sulphur,US,34.5038374,-97.0041868
213,Atlanta,US,33.115504,-94.184857
214,El Reno,US,35.511165,-97.976009
215,Trumann,US,35.681492,-90.549868
216,Cleburne,US,32.341355,-97.41514
217,Ada,US,34.789127,-96.65614
218,Paris,US,35.293369,-93.716195
219,Anna,US,37.461908,-89.222998
220,Atoka,US,34.3662191,-96.1426364
221,Kansas City,US,39.243164,-94.459216
222,Pulaski,US,35.201555,-87.060372
223,Commerce,US,33.234935,-95.914764
224,Rogers,US,36.280919,-94.151696
225,Kosciusko,US,33.0549039,-89.5669509
226,Crockett,US,31.320306,-95.434461
227,Harrisburg,US,37.7282525,-88.532915
228,Paola,US,38.573605,-94.857295
229,Winnfield,US,31.950346,-92.656886
230,Wentzville,US,38.814137,-90.879016
231,Crowley,US,32.576633,-97.336527
232,Henryetta,US,35.438882,-95.974421
233,Cleveland,US,30.333624,-95.098051
234,Mexia,US,31.683347,-96.456538
235,Warsaw,US,38.26173,-93.3713094
236,Skiatook,US,36.370696,-96.01132
237,Mineola,US,32.689696,-95.481768
238,Du Quoin,US,37.997658,-89.238137
239,Jerseyville,US,39.103491,-90.318482
240,Olney,US,38.749971,-88.097805
241,Tupelo,US,34.308824,-88.709889
242,Rockwall,US,32.902041,-96.461769
243,Morganfield,US,37.688625,-87.900008
244,Waxahachie,US,32.416996,-96.837937
245,Hot Springs,US,34.454531,-93.060534
246,Glen Carbon,US,38.7753749,-89.952569
247,Benton,US,38.000853,-88.93678
248,Terrell,US,32.739723,-96.306024
249,Grapevine,US,32.930782,-97.1017
250,Savannah,US,35.2239804,-88.2147838
251,Dickson,US,36.0599933,-87.3812037
252,Bowie,US,33.540549,-97.837408
253,Lawton,US,34.618772,-98.42438
254,Franklin,US,35.93902,-86.819155
255,Fulton,US,34.2420797,-88.3972337
256,Webb City,US,37.133514,-94.478384
257,Iuka,US,34.80428,-88.20453
258,Livingston,US,30.716174,-94.954755
259,Stigler,US,35.2523274,-95.1084185
260,Shreveport,US,32.42845,-93.712166
261,Heber Spgs,US,35.507388,-92.032234
262,De Queen,US,34.043471,-94.319058
263,Moore,US,35.322508,-97.493008
264,Rockdale,US,30.642342,-97.03214
265,Franklin,US,36.694977,-86.573045
266,Bridge City,US,30.024796,-93.844527
267,Mansfield,US,32.576044,-97.130022
268,Huntsville,US,30.713817,-95.570575
269,Jasper,US,33.8429292,-87.254431
270,Mcgehee,US,33.604067,-91.381208
271,Woodville,US,30.763779,-94.419491
272,Gonzales,US,29.5164259,-97.4491852
273,Ennis,US,32.333377,-96.620823
274,Lockhart,US,29.85698,-97.665477
275,Navasota,US,30.394988,-96.071724
276,Dardanelle,US,35.2179,-93.166461
277,Central City,US,37.271457,-87.144458
278,Eureka,US,38.50661,-90.656737
279,Porter,US,30.106968,-95.233615
280,Boaz,US,34.214766,-86.153387
281,Bowling Green,US,36.948807,-86.433446
282,Murphysboro,US,37.759516,-89.28315
283,Gadsden,US,34.012769,-85.987031
284,Springfield,US,36.483717,-86.888493
285,Holly Springs,US,34.7466316,-89.459003
286,Arab,US,34.341887,-86.500136
287,West Monroe,US,32.508119,-92.154337
288,Carthage,US,32.7258051,-89.5474174
289,Abbeville,US,29.972971,-92.095051
290,Manchester,US,35.452676,-86.047354
291,Crowley,US,30.233198,-92.36465
292,Jacksonville,US,33.78822,-85.765028
293,Franklin,US,29.814155,-91.51306
294,High Ridge,US,38.462144,-90.521836
295,Fayetteville,US,35.136734,-86.564496
296,Ville Platte,US,30.687254,-92.260969
297,Vandalia,US,38.966414,-89.135519
298,Arkadelphia,US,34.119797,-93.096488
299,Raymore,US,38.809975,-94.495531
300,Attalla,US,33.993612,-86.093629
301,Marlin,US,31.304425,-96.876786
302,Oneonta,US,33.971218,-86.446599
303,Bryan,US,30.6574,-96.330396
304,Mansfield,US,32.052932,-93.68175
305,Brenham,US,30.139992,-96.393143
306,Higginsville,US,39.077943,-93.736752
307,Bristow,US,35.844007,-96.394808
308,Richmond,US,39.263479,-93.963432
309,Jay,US,36.419232,-94.806089
310,Waterloo,US,38.358741,-90.157744
311,Anniston,US,33.720093,-85.820134
312,Huntsville,US,34.747008,-86.675822
313,Victoria,US,28.877997,-96.993928
314,Jackson,US,35.668347,-88.851516
315,Sulphur,US,30.233061,-93.328042
316,Beaver Dam,US,37.429567,-86.880124
317,Carlinville,US,39.267994,-89.894417
318,Sheridan,US,34.291348,-92.397163
319,Lamar,US,37.497069,-94.302316
320,Fredericktown,US,37.5589096,-90.3197291
321,Checotah,US,35.470025,-95.534337
322,Fordyce,US,33.820498,-92.435566
323,Marysville,US,39.843391,-96.605108
324,Hiawatha,US,39.846387,-95.560036
325,Palestine,US,31.736555,-95.616596
326,Monticello,US,33.63588,-91.80475
327,Augusta,US,37.677977,-96.987658
328,York,US,40.82787,-97.593326
329,Indianola,US,33.459493,-90.663215
330,El Campo,US,29.216807,-96.292641
331,Taylorville,US,39.569337,-89.314967
332,Tomball,US,30.134346,-95.550647
333,Chester,US,37.925334,-89.804487
334,Graham,US,33.082267,-98.58074
335,Owensville,US,38.3531394,-91.4818482
336,Opelika,US,32.637874,-85.421882
337,Versailles,US,38.4342477,-92.8588751
338,Auburn,US,32.570858,-85.49657
339,Alma,US,35.479083,-94.22879
340,Collinsville,US,38.674715,-90.017291
341,Fayetteville,US,36.122616,-94.15276
342,Winfield,US,33.9352,-87.840615
343,Marshall,US,39.111569,-93.216447
344,Cushing,US,35.987433,-96.721249
345,Madisonville,US,35.512288,-84.360078
346,Pearl,US,32.286656,-90.046349
347,Center,US,31.80172,-94.194186
348,Parsons,US,37.372299,-95.25583
349,Dodge City,US,37.768588,-100.035792
350,Winfield,US,37.22725,-96.992729
351,Granbury,US,32.432088,-97.780249
352,Wellington,US,37.273436,-97.373226
353,Coweta,US,36.001683,-95.677254
354,Huntsville,US,36.1128042,-93.7159682
355,Bossier City,US,32.548268,-93.706324
356,Sumter,US,33.906164,-80.378092
357,Huntsville,US,34.7030172,-86.5853922
358,Holton,US,39.460818,-95.751037
359,Ozark,US,37.001223,-93.22794
360,Silsbee,US,30.340472,-94.146959
361,Ottawa,US,38.581196,-95.264337
362,Lumberton,US,30.258479,-94.216602
363,Chandler,US,35.711749,-96.842036
364,Cuero,US,29.089432,-97.271237
365,Jennings,US,30.244584,-92.659001
366,Copperas Cove,US,31.118184,-97.870857
367,Fort Smith,US,35.399753,-94.363077
368,Waverly,US,36.084335,-87.832573
369,Weatherford,US,35.524104,-98.690842
370,Jackson,US,35.551073,-88.810955
371,Tupelo,US,34.258167,-88.741172
372,Edmond,US,35.640173,-97.429241
373,Anderson,US,34.554437,-82.6786822
374,Moulton,US,34.4955794,-87.2769413
375,Mission,US,26.193521,-98.2869487
376,Longview,US,32.542098,-94.727504
377,Mcallen,US,26.188376,-98.209872
378,Longview,US,32.531894,-94.78483
379,Conroe,US,30.331402,-95.479103
380,Plaquemine,US,30.263844,-91.254829
381,Russellville,US,34.495318,-87.728925
382,Leesville,US,31.118636,-93.274624
383,San Marcos,US,29.8834396,-97.9121923
384,Smyrna,US,35.970935,-86.495862
385,Killeen,US,31.089533,-97.729372
386,Haleyville,US,34.2405233,-87.5987915
387,Breaux Bridge,US,30.293263,-91.910347
388,Murray,US,36.627014,-88.317878
389,Port Arthur,US,29.942076,-93.9937
390,Houston,US,33.894702,-88.989563
391,Port Isabel,US,26.068984,-97.222507
392,Wichita Falls,US,33.850603,-98.501632
393,Athens,US,32.210394,-95.832943
394,Broussard,US,30.144151,-91.943449
395,Murfreesboro,US,35.775172,-86.399845
396,Fairbury,US,40.162702,-97.175372
397,Wichita Falls,US,33.951021,-98.529274
398,Sulphur Springs,US,33.105801,-95.595268
399,Pratt,US,37.644053,-98.713481
400,Alabaster,US,33.2355308,-86.801229
401,Robinson,US,39.0087859,-87.7238588
402,Decatur,US,33.228422,-97.597203
403,Brent,US,32.963956,-87.171887
404,Colony,US,33.067154,-96.89221
405,Greenville,US,33.093639,-96.106315
406,Zachary,US,30.6511982,-91.1421476
407,Edinburg,US,26.301269,-98.181031
408,Mayfield,US,36.720985,-88.629795
409,Clanton,US,32.816741,-86.609419
410,Paducah,US,37.0540102,-88.5662728
411,Talladega,US,33.438556,-86.080265
412,Carlyle,US,38.629436,-89.376727
413,Huntsville,US,34.61586,-86.570681
414,Sealy,US,29.757736,-96.152552
415,Huntsville,US,34.765195,-86.592346
416,Breckenridge,US,32.761895,-98.946751
417,Highland,US,38.7607786,-89.6842294
418,Rockport,US,28.048113,-97.045087
419,Kingsville,US,27.489274,-97.853623
420,Hondo,US,29.343977,-99.126629
421,Springfield,US,37.153676,-93.299048
422,Madisonville,US,30.956855,-95.894079
423,Leitchfield,US,37.484701,-86.265657
424,Shreveport,US,32.4464337,-93.8677975
425,Del Rio,US,29.395726,-100.900994
426,Shreveport,US,32.388433,-93.819215
427,Port Arthur,US,29.936493,-93.941153
428,Columbia,US,38.913092,-92.324097
429,Malden,US,36.570405,-89.972394
430,Mcallen,US,26.243829,-98.245074
431,Fairfield,US,38.376002,-88.38918
432,Aransas Pass,US,27.92242,-97.176221
433,Brownsville,US,25.975195,-97.520341
434,Covington,US,33.610856,-83.830231
435,Vidor,US,30.143291,-94.014491
436,Eagle Pass,US,28.701256,-100.480817
437,Beeville,US,28.422051,-97.753283
438,Alvin,US,29.421683,-95.230798
439,Corpus Christi,US,27.853628,-97.633395
440,Floresville,US,29.162266,-98.179983
441,Texarkana,US,33.462229,-94.039851
442,Bolivar,US,35.279842,-89.024623
443,Lake Charles,US,30.195609,-93.17622
444,Corpus Christi,US,27.737979,-97.43886
445,Denton,US,33.191193,-97.093584
446,Giddings,US,30.177696,-96.915709
447,Broken Arrow,US,36.058129,-95.817643
448,Lancaster,US,32.59215,-96.819145
449,Round Rock,US,30.483114,-97.669778
450,Soddy Daisy,US,35.234236,-85.199273
451,Pearsall,US,28.898853,-99.094236
452,Gatesville,US,31.425255,-97.712956
453,Altus,US,34.664235,-99.331291
454,Pittsfield,US,39.604775,-90.822308
455,West Columbia,US,29.150831,-95.658525
456,Mattoon,US,39.481309,-88.337398
457,Lawrence,US,38.923672,-95.256869
458,Prattville,US,32.463123,-86.416339
459,Donaldsonville,US,30.095133,-90.980352
460,Quincy,US,30.556986,-84.595535
461,Bonner Springs,US,39.085862,-94.877566
462,Hammond,US,30.501713,-90.494371
463,Vincennes,US,38.662953,-87.504643
464,Paris,US,38.196993,-84.278012
465,Paducah,US,37.072548,-88.688124
466,Newnan,US,33.393498,-84.743664
467,Corpus Christi,US,27.674384,-97.300335
468,Shelbyville,US,38.21018,-85.265283
469,Columbus,US,33.518642,-88.439114
470,Jena,US,31.6927546,-92.1404735
471,El Paso,US,31.896254,-106.438215
472,Enid,US,36.387842,-97.945621
473,Laurel,US,31.709574,-89.146654
474,Cut Off,US,29.4709045,-90.3243205
475,Columbus,US,29.694586,-96.53837
476,Deridder,US,30.866174,-93.288017
477,Galveston,US,29.265049,-94.833163
478,Flora,US,38.682176,-88.49584
479,Kerrville,US,30.06285,-99.167215
480,Lawrenceburg,US,38.035243,-84.909083
481,Gainesville,US,34.2917,-83.8506
482,Sumter,US,33.9600883,-80.3896021
483,Big Spring,US,32.227804,-101.467786
484,El Paso,US,31.753235,-106.339982
485,Gun Barrel City,US,32.333083,-96.135327
486,Aiken,US,33.518173,-81.71954
487,Mustang,US,35.393703,-97.705208
488,Murphy,US,35.108762,-84.005497
489,Canton,US,34.255416,-84.461178
490,Crosby,US,29.894378,-95.065666
491,Harrodsburg,US,37.74252,-84.844408
492,Lake Charles,US,30.268847,-93.179586
493,Carthage,US,32.168984,-94.368699
494,Kenedy,US,28.834532,-97.86426
495,Winder,US,33.990029,-83.756707
496,Louisville,US,38.300079,-85.545768
497,La Marque,US,29.402077,-95.037535
498,Lake Mary,US,28.784512,-81.304091
499,Angleton,US,29.184128,-95.435889
500,Braden River,US,27.449683,-82.527182
501,El Dorado,US,33.2420091,-92.6686538
502,Gonzales,US,30.235411,-90.908985
503,Lafayette,US,30.187238,-92.078505
504,New Iberia,US,29.986171,-91.815233
505,Lafayette,US,30.239559,-92.015743
506,Abilene,US,32.41097,-99.781732
507,Gainesville,US,29.708414,-82.35647
508,Abilene,US,32.48087,-99.698021
509,Alexandria,US,31.278583,-92.451864
510,Odessa,US,31.895721,-102.332146
511,Morgan City,US,29.683712,-91.267157
512,Covington,US,30.443284,-90.078758
513,Opelousas,US,30.520821,-92.065731
514,Oklahoma City,US,35.4485424,-97.4261536
515,Houma,US,29.607776,-90.751843
516,Lawrenceville,US,33.971139,-83.996583
517,Richmond,US,29.5571658,-95.7599175
518,Hobbs,US,32.743608,-103.160521
519,Plant City,US,27.985901,-82.118861
520,Manchester,US,37.1407311,-83.7729955
521,Lawrenceville,US,38.725327,-87.700208
522,Palatka,US,29.6385123,-81.6809655
523,Slidell,US,30.278393,-89.749073
524,Laredo,US,27.552401,-99.506573
525,Whitesburg,US,37.117108,-82.794907
526,Dublin,US,32.551232,-82.972249
527,Salina,US,38.785465,-97.61503
528,Muscatine,US,41.457702,-91.025199
529,Saint Joseph,US,39.808617,-94.811755
530,Waycross,US,31.197949,-82.32106
531,Eastland,US,32.40464,-98.793031
532,Orange City,US,28.913697,-81.2788792
533,Leeds,US,33.562105,-86.518619
534,Oklahoma City,US,35.463405,-97.622266
535,Emporia,US,38.424985,-96.219695
536,Corsicana,US,32.066152,-96.505841
537,Boonville,US,38.050712,-87.307191
538,Caldwell,US,30.539125,-96.700254
539,Carthage,US,36.245588,-85.939041
540,Georgetown,US,38.230487,-84.538624
541,Kilgore,US,32.393736,-94.865301
542,Columbia,US,37.075612,-85.334473
543,Lees Summit,US,38.930632,-94.363615
544,Woodstock,US,34.084165,-84.481231
545,Tulsa,US,36.159391,-95.883238
546,Surfside Beach,US,33.64698,-78.981088
547,Sevierville,US,35.838403,-83.574228
548,St Augustine,US,29.856133,-81.325575
549,Marshalltown,US,42.012119,-92.908946
550,Port Orange,US,29.116838,-81.019502
551,Bartow,US,27.9070533,-81.8334249
552,Dry Ridge,US,38.678945,-84.597128
553,Oneida,US,36.513272,-84.506121
554,Rock Hill,US,34.94418,-80.963138
555,Sparta,US,35.929108,-85.489893
556,Olathe,US,38.880878,-94.758164
557,Conway,US,33.857892,-79.091184
558,Louisville,US,38.088497,-85.66386
559,Albany,US,31.624849,-84.213742
560,Fort Worth,US,32.664652,-97.405728
561,Derby,US,37.568988,-97.274999
562,Douglas,US,31.484879,-82.848265
563,Fayetteville,US,33.481376,-84.443322
564,Harlingen,US,26.180441,-97.716899
565,Cynthiana,US,38.378008,-84.30593
566,Herrin,US,37.786284,-89.028816
567,Kingsport,US,36.508678,-82.519136
568,San Angelo,US,31.426283,-100.509126
569,Kearney,US,40.726452,-99.081096
570,Pampa,US,35.570126,-100.969822
571,Spring,US,30.123448,-95.457761
572,Dothan,US,31.268054,-85.441109
573,Pekin,US,40.537969,-89.594843
574,Hobart,US,35.017074,-99.10422
575,Savannah,US,31.9867025,-81.0825278
576,Savannah,US,32.04225,-81.00334
577,Hannibal,US,39.724869,-91.400117
578,Stephenville,US,32.207348,-98.237766
579,Ormond Beach,US,29.258744,-81.115002
580,Midland,US,32.029805,-102.148753
581,Roswell,US,33.450048,-104.526774
582,Lagrange,US,33.059904,-85.031485
583,Cartersville,US,34.202913,-84.787531
584,Charleston,US,39.485111,-88.155374
585,Sullivan,US,39.101072,-87.424032
586,Orangeburg,US,33.5241622,-80.8910894
587,Hiram,US,33.890811,-84.758895
588,Dayton,US,35.460395,-85.043829
589,Bristol,US,36.545412,-82.235082
590,Oklahoma City,US,35.56241,-97.653994
591,Lake City,US,33.892389,-79.751262
592,North Fort Myers,US,26.679553,-81.898523
593,Seminole,US,32.7249201,-102.6666609
594,Newberry,US,34.280231,-81.592295
595,Georgetown,US,33.393724,-79.286271
596,Dillon,US,34.4358664,-79.3765944
597,Union,US,34.726994,-81.641145
598,Easley,US,34.8284813,-82.5494312
599,Summerville,US,32.950336,-80.155096
600,Florence,US,34.193435,-79.820891
601,Kewanee,US,41.22115,-89.922169
602,Camden,US,34.250827,-80.649858
603,Savannah,US,31.99979,-81.258013
604,Princeton,US,41.396587,-89.462832
605,Lexington,US,40.744902,-99.742518
606,Greenville,US,34.857024,-82.453847
607,Greenville,US,34.822652,-82.28115
608,Gaffney,US,35.087204,-81.665835
609,Cheraw,US,34.701157,-79.931271
610,Myrtle Beach,US,33.7872622,-78.7684707
611,Anderson,US,34.487945,-82.678139
612,Norfolk,US,42.024062,-97.445242
613,Anamosa,US,42.099218,-91.264296
614,Grinnell,US,41.721997,-92.730837
615,Brunswick,US,31.212801,-81.485464
616,Big Stone Gap,US,36.860033,-82.7574731
617,Saint Peters,US,38.745103,-90.588571
618,Titusville,US,28.555379,-80.842668
619,Beaumont,US,30.12284,-94.16742
620,Hopkinsville,US,36.83001,-87.46925
621,Garden City,US,37.986336,-100.836526
622,Shelbyville,US,35.513194,-86.452061
623,Hanson,US,37.325152,-87.473071
624,Cookeville,US,36.14509,-85.496886
625,Rome,US,34.275423,-85.229825
626,Nashville,US,36.131739,-86.907819
627,Muscle Shoals,US,34.74765,-87.673673
628,Athens,US,34.78855,-86.958843
629,Athens,US,35.4528545,-84.6315904
630,Campbellsville,US,37.345868,-85.373597
631,Decatur,US,34.556416,-86.995956
632,Sebring,US,27.513088,-81.497158
633,Hays,US,38.903229,-99.32125
634,Mcminnville,US,35.69885,-85.788267
635,Tullahoma,US,35.38984,-86.239908
636,Lebanon,US,36.191829,-86.290925
637,Dalton,US,34.76783,-84.92994
638,Cullman,US,34.14914,-86.842052
639,Clarksville,US,36.594714,-87.29121
640,Alcoa,US,35.771244,-83.99179
641,Gallatin,US,36.376943,-86.476816
642,Newport,US,35.943773,-83.21225
643,Rockwood,US,35.879877,-84.657694
644,Guntersville,US,34.299429,-86.27903
645,Union City,US,36.413982,-89.080451
646,Dyersburg,US,36.063412,-89.391879
647,Murfreesboro,US,35.850374,-86.427837
648,Lawrenceburg,US,35.27339,-87.314905
649,Greeneville,US,36.18768,-82.759393
650,Lexington,US,35.654492,-88.411623
651,Morristown,US,36.213757,-83.255027
652,Nashville,US,36.041872,-86.709067
653,Crossville,US,35.983311,-85.035712
654,Elizabethton,US,36.349209,-82.245352
655,Fort Payne,US,34.440216,-85.76195
656,Fitzgerald,US,31.689946,-83.248393
657,Somerset,US,37.068529,-84.623456
658,Jackson,US,37.551571,-83.3603119
659,Danville,US,37.614603,-84.77169
660,Ocala,US,29.157851,-82.166304
661,Prestonsburg,US,37.655094,-82.781844
662,Henderson,US,37.856106,-87.566169
663,Cleveland,US,35.20219,-84.848963
664,Oxford,US,34.359626,-89.5645
665,Madison,US,36.3088479,-86.6862916
666,Selma,US,32.434137,-87.012949
667,Owensboro,US,37.719915,-87.121914
668,Winchester,US,37.987629,-84.211027
669,Tomball,US,30.075827,-95.624787
670,Zephyrhills,US,28.269612,-82.191192
